Time(ms), ID, Bus, Data
186819876,866,0,00000000
186820090,995,0,C6C76CA56901C6
186820264,499,0,407C00
186820605,554,0,CCBC01
186822600,171,0,0000000000000000
186822772,199,0,43B4A661
186822909,211,0,2BE2
186823132,390,0,04005D0801017F
186824088,170,0,2BE22BE202541D00
186824299,190,0,00020005ABFE
186824547,201,0,8000002000001800
186824800,493,0,01A9000000001B8A
186824973,495,0,00000000
186825328,241,0,280200400000
186827070,485,0,5C00AB1005000158
186827708,568,0,6C
186827935,810,0,0A31A88065C4D7C4
186828170,193,0,03BE4F04C300E7AA
186828393,197,0,033DF36B42447757
186828624,209,0,00000000000000
186828871,456,0,03FF000000003C01
186829121,489,0,0000000E00230000
186829362,562,0,0000200800120022
186834568,289,0,0000000000000000
186834998,171,0,0000000000000000
186835168,199,0,43B8ACDE
186835375,241,0,340200400000
186835508,211,0,2BE2
186835736,390,0,04005D0801017F
186836505,170,0,2BE22BE204541C00
186836711,190,0,04020005ABFD
186836955,201,0,8000002700001800
186837194,485,0,5C00AD300500017A
186837425,417,0,00004100000000
186837663,493,0,01A9000000001B8A
186837781,419,0,00
186838015,193,0,13C1814013031986
186838241,197,0,534025D8524698E3
186838471,209,0,40007FFF00FF00
186838603,389,0,1BF2
186838816,426,0,00662694663000
186839044,454,0,349D349D00432D8B
186839277,451,0,06630662FF300001
186839523,456,0,43FF0000FFFF3C00
186839761,452,0,4A62C0B8040005FE
186839986,189,0,020821F20800FF
186840179,453,0,2BE22BE2B25C
186840333,479,0,800200
186840556,481,0,00000000031CC0
186840727,495,0,00000000
186840941,500,0,000000000000
186841184,501,0,0C0C000400000900
186841296,568,0,6C
186841450,647,0,C10001
186841634,840,0,0453045C09
186841872,707,0,066306620000CA00
186842056,842,0,0453045109
186842307,560,0,0000100000001FFF
186843279,711,0,033FF3BF2000
186845289,241,0,000505400000
186847081,485,0,5C00AD500500019A
186847406,171,0,0000000000000000
186847519,568,0,6C
186847679,199,0,43BCB35B
186847908,193,0,23C3A2C523053AD9
186848134,197,0,6342472A6248BA0E
186848360,209,0,8000BFFE00FE00
186848491,211,0,2BE2
186848740,456,0,83FF0000FFFE3BFF
186848961,390,0,04005D0801017F
186849196,170,0,2BE22BE206541B00
186849440,489,0,0000000E00210000
186849645,190,0,08020005ABFC
186849801,499,0,80BC00
186850047,201,0,8000002A00001800
186850253,532,0,020023FF241F
186850494,493,0,01A9000000001B8A
186850718,761,0,00010A0800000A
186850919,381,0,222442FF000E
186851090,495,0,00000000
186855319,241,0,1C0200400000
186857099,485,0,5C00AC70050001B9
186857210,568,0,6C
186857907,497,0,A21200000800007A
186858139,193,0,33C5C46033075C02
186858365,197,0,734468C1724BECC3
186858590,209,0,C000FFFD00FD00
186858722,389,0,1BF6
186858948,454,0,349D349D00832D8A
186859192,456,0,C3FF0000FFFD3BFE
186859432,508,0,FE77003D0000A205
186859603,528,0,040001FE
186860173,171,0,0000000000000000
186860383,1105,0,000000000000
186860546,199,0,43C0B9D7
186860682,211,0,2BE2
186860935,390,0,04005D0801017F
186861768,170,0,2BE22BE200541E00
186861974,190,0,0C020005ABFB
186862221,201,0,8000002D00001800
186862475,493,0,01A9000000001B8A
186862707,417,0,00004100000000
186862877,495,0,00000000
186862995,419,0,00
186863212,426,0,00662694663000
186863476,451,0,06630662FF000000
186863718,452,0,6D62C0B8060003FD
186863915,453,0,2BE22BE2B25C
186864131,500,0,000000000000
186864285,647,0,000001
186864942,189,0,020821F20800FF
186865096,479,0,800200
186865352,501,0,0C0C000400000900
186865559,241,0,280200400000
186867069,485,0,5C00AC1005000159
186867255,568,0,6C
186867896,481,0,000000000010F0
186868254,193,0,03C8F6B6030A8DDB
186868481,197,0,43479B28824D0E70
186868709,209,0,00000000000000
186868960,456,0,03FF000000003C01
186869206,489,0,0000000E00200000
186869411,711,0,033FF5BF2000
186869652,844,0,F19F002003F50000
186869825,866,0,00000000
186870345,969,0,0706000000000000
186870639,564,0,0000000000
186872664,171,0,0000000000000000
186872871,199,0,43C3BEB4
186873037,211,0,2BE2
186873262,390,0,04005D0801017F
186874150,170,0,2BE22BE202541D00
186874358,190,0,00020005ABFE
186874606,201,0,8000002000001800
186874861,493,0,01A9000000001B8A
186875036,495,0,00000000
186875375,241,0,340200400000
186877063,485,0,5C00AD300500017A
186877681,568,0,6C
186877866,352,0,DF7311FB03
186878090,193,0,53CA1849130CAF1E
186878315,197,0,5349BCC3924F301D
186878546,209,0,40007FFF00FF00
186878677,389,0,1BF2
186878907,454,0,349D349D00C32D89
186879154,456,0,43FF0000FFFF3C00
186879392,562,0,0000200800120022
186880270,499,0,C0FC00
186880708,386,0,11FB010000000000
186885055,171,0,0000000000000000
186885311,241,0,000200400000
186885472,199,0,43C7C530
186885642,211,0,2BE2
186885868,390,0,04005D0801017F
186886542,170,0,2BE22BE204541C00
186886747,190,0,04020005ABFD
186886991,201,0,8000002700001800
186887228,485,0,5C00AD500500019A
186887458,417,0,00004100000000
186887697,493,0,01A9000000001B8A
186887932,193,0,63CC39F2230ED07F
186888158,197,0,634BDE69A25151DF
186888386,209,0,8000BFFE00FE00
186888624,298,0,10E0706E000010B1
186888740,419,0,00
186888985,456,0,83FF0000FFFE3BFF
186889199,426,0,00662694663000
186889446,489,0,0000000E001F0000
186889679,451,0,06630662FF100003
186889852,495,0,00000000
186890077,189,0,020821F20800FF
186890322,452,0,0062C0B800000000
186890475,479,0,800200
186890669,453,0,2BE22BE2B25C
186890913,501,0,0C0C000400000900
186891126,500,0,000000000000
186891238,568,0,6C
186891389,647,0,430001
186891574,840,0,0456046109
186891813,707,0,066306620000CA00
186891996,842,0,0454045309
186892244,560,0,0000200000001FFE
186892489,977,0,014E800020000000
186892716,979,0,800020003FFF3A
186892926,988,0,81000A000000
186893157,1001,0,08BC151508BF14E1
186893360,711,0,033FF4BF2000
186895361,241,0,1C0200400000
186896073,546,0,0098C3F4033833
186896518,558,0,F000000000006A03
186897059,485,0,5C00AC70040001B8
186897419,171,0,0000000000000000
186897544,568,0,6C
186897700,199,0,43CBCBAB
186897933,309,0,02001362210D131F
186898160,193,0,73CF6C8B73110283
186898383,197,0,B34D0045B2548489
186898611,209,0,C000FFFD00FD00
186898743,211,0,2BE2
186898878,389,0,1BF4
186899112,170,0,2BE22BE206541B00
186899336,390,0,04005D0801017F
186899540,190,0,08020005ABFC
186899768,454,0,349D349D00032D8C
186900011,201,0,8000002A00001800
186900253,456,0,C3FF0000FFFD3BFE
186900475,481,0,000000000114E0
186900717,493,0,01A9000000001B8A
186900920,532,0,040043FE482A
186901090,495,0,00000000
186901317,761,0,00010D0800000D
186905347,241,0,280505400000
186907069,485,0,5C00AC1003000157
186907290,566,0,04284E0010
186907401,568,0,6C
186907643,989,0,0000009F880203F4
186907905,311,0,0E01999E2D9A1009
186908133,193,0,43D18E15431323F5
186908363,197,0,835032EF8256A5FF
186908594,209,0,00000000000000
186908844,456,0,03FF000000003C01
186909088,489,0,0000000E00200000
186909328,508,0,FE3CFFE10000F377
186909500,528,0,060001FD
186910203,171,0,0000000000000000
186910360,499,0,003C00
186910521,199,0,43CFD226
186910665,567,0,221203
186910800,211,0,2BE2
186911024,390,0,04005D0801017F
186911531,170,0,2BE22BE200541E00
186911736,190,0,0C020005ABFB
186911983,201,0,8000002D00001800
186912238,493,0,01A9000000001B8A
186912468,417,0,00004100000000
186912641,495,0,00000000
186912756,419,0,00
186912974,426,0,00662694663000
186913212,451,0,06630662FF200002
186913475,452,0,2762C0B8020007FF
186913678,453,0,2BE22BE2B25C
186913893,500,0,000000000000
186914047,647,0,820001
186914729,1005,0,0000000000FF
186915004,189,0,020821F20800FF
186915157,479,0,800200
186915404,501,0,0C0C000400000900
186915611,241,0,340200400000
186915857,961,0,0765F78000000000
186917061,485,0,5C00AC3003000177
186917261,568,0,6C
186918036,313,0,0000000000000000
186918270,193,0,53D3AFE953154541
186918492,197,0,935254A49258C752
186918722,209,0,40007FFF00FF00
186918853,389,0,1BF3
186919081,454,0,349D349D00432D8B
186919327,456,0,43FF0000FFFF3C00
186919529,711,0,033FF4BF2000
186919776,844,0,F99E002003F30000
186919948,866,0,00000000
186920161,995,0,C6C76CA56901C7
186920623,554,0,0FA000
186922603,171,0,0000000000000000
186922775,199,0,43D3D8A1
186922913,211,0,2BE2
186923136,390,0,04005D0801017F
186924094,170,0,2BE22BE202541D00
186924306,190,0,00020005ABFE
186924550,201,0,8000002000001800
186924807,493,0,01A9000000001B8A
